Name,Loop Point
se_truck_move,2.2
se_berry_blender,0.6
se_thunderstorm,0.8
se_downpour,0.8
se_rain,0.8
se_low_health,0.6
se_taillow_wing_flap,0.6
se_m_gust,1
se_m_blizzard,1
mus_evolution,16.6
mus_rs_vs_gym_leader,12.8
mus_rs_vs_trainer,12.7
mus_school,0.6
mus_follow_me,10.4
mus_game_corner,1
mus_rocket_hideout,2.4
mus_gym,0.6
mus_title,4.4
mus_cinnabar,2.6
mus_lavender,8.1
mus_cycling,0.8
mus_encounter_rocket,2.6
mus_encounter_girl,1.8
mus_encounter_boy,9.9
mus_hall_of_fame,2.1
mus_viridian_forest,0.8
mus_mt_moon,0.6
mus_poke_mansion,66
mus_route1,25.7
mus_route24,1.1
mus_route3,5.7
mus_route11,35.4
mus_victory_road,32.8
mus_vs_gym_leader,57.3
mus_vs_trainer,20.1
mus_vs_wild,13.8
mus_vs_champion,14.5
mus_pallet,44.2
mus_oak_lab,1.6
mus_oak,26.1
mus_poke_center,0.6
mus_ss_anne,9
mus_surf,4.2
mus_poke_tower,2.4
mus_silph,4.3
mus_fuchsia,2.6
mus_celadon,2.8
mus_victory_trainer,2.6
mus_victory_wild,2.4
mus_victory_gym_leader,6.7
mus_vermillion,0.6
mus_pewter,1
mus_encounter_rival,3.4
mus_rival_exit,2
mus_caught,0.8
mus_new_game_instruct,0.8
mus_new_game_intro,0.6
mus_poke_jump,1
mus_union_room,1
mus_net_center,0.6
mus_mystery_gift,2.5
mus_berry_pick,1
mus_sevii_cave,0.6
mus_teachy_tv_show,10.4
mus_sevii_route,4.9
mus_sevii_dungeon,0.8
mus_sevii_123,1
mus_sevii_45,4.8
mus_sevii_67,10.9
mus_vs_deoxys,16.8
mus_vs_mewtwo,13.8
mus_vs_legend,13.8
mus_encounter_gym_leader,3.5
mus_encounter_deoxys,0.6
mus_trainer_tower,0.6
mus_slow_pallet,53.9
mus_teachy_tv_menu,1
